Enhancer	Target_gene
TE_19535	SEMA6A
TE_19535	SEMA6A-AS2
TE_18650	PCDH1
TE_19047	PDE8B
TE_19592	GUSBP14
SE_387	SQSTM1
SE_387	MGAT4B
SE_387	MIR1229
SE_387	LTC4S
TE_19360	SQSTM1
TE_19942	RMND5B
TE_18734	PCDHA3
TE_18734	PCDHA2
TE_18734	PCDHA1
TE_18703	PURPL
TE_19678	HSD17B4
SE_397	SPRY4
SE_397	SPRY4-IT1
SE_397	SPRY4-AS1
TE_19920	PRR7
TE_19920	PRR7-AS1
TE_18977	FAM169A
TE_18977	LOC441086
SE_385	PLPP1
SE_385	RNF138P1
TE_18845	SMN2
TE_18845	SMN1
TE_19675	GEMIN5
TE_19675	MRPL22
TE_19107	LOC100996325
TE_19107	CEP72
TE_19507	CXXC5
TE_19507	CXXC5-AS1
TE_19543	PCDHB16
TE_19543	PCDHB8
TE_19543	PCDHB9
TE_19543	PCDHB7
TE_19543	PCDHB11
TE_19543	PCDHB10
TE_18734	GOLPH3
TE_18603	MED10
TE_19150	SEMA6A
TE_19150	SEMA6A-AS2
TE_18845	ZNF354B
SE_400	RPS14
TE_19594	PCDHGA12
TE_19594	PCDHGB6
TE_19594	PCDHGB7
TE_19594	PCDHGA10
TE_19594	PCDHGA11
TE_19594	PCDHGA9
TE_19594	PCDHGB8P
TE_19849	ERGIC1
TE_19288	SPRY4
TE_19288	SPRY4-IT1
