Enhancer	Target_gene
TE_21730	TIMM29
TE_21602	LINGO3
TE_22313	TRPM4
TE_22313	HRC
TE_21642	DOHH
TE_21642	FZR1
SE_1118	PPP1R12C
SE_1118	MIR7975
TE_21847	CCDC124
TE_22194	ERF
TE_22194	GSK3A
TE_21585	BTBD2
SE_1079	MBD3
TE_21726	RPL36
TE_21726	HSD11B1L
TE_21726	MICOS13
TE_22301	CACNG8
SE_1115	DHPS
SE_1115	WDR83
SE_1115	MAN2B1
SE_1115	FBXW9
SE_1115	SNORD135
SE_1115	SNORD41
SE_1115	GNG14
SE_1115	WDR83OS
TE_22330	IZUMO2
SE_1110	NRTN
SE_1110	FUT6
SE_1118	TSEN34
SE_1118	MBOAT7
SE_1118	RPS9
SE_1103	UPF1
SE_1080	ZNF544
TE_22093	ARHGAP33
SE_1088	ZNRF4
SE_1122	ZNF274
SE_1081	MKNK2
TE_22066	GPI
SE_1110	RASGRP4
SE_1110	RYR1
TE_22299	KDELR1
TE_22299	GRIN2D
TE_21915	PDCD2L
TE_21904	ZNF43
TE_22395	MYADM
TE_22395	PRKCG
TE_22173	CYP2T1P
TE_22173	EGLN2
TE_22339	C19orf48
TE_22339	ACP4
TE_22339	LOC105372440
TE_22339	SNORD88B
TE_22339	SNORD88A
TE_22339	SNORD88C
TE_21753	RAD23A
TE_21753	DAND5
TE_21753	SYCE2
TE_21753	GADD45GIP1
TE_21753	MIR5695
TE_21753	FARSA-AS1
TE_21753	MIR6515
TE_21753	FARSA
TE_21753	CALR
SE_1101	TPM4
SE_1101	LINC01855
SE_1077	PRSS57
TE_22062	AKT2
TE_22062	MIR641
TE_22303	FUT2
TE_22303	LOC105447645
TE_21600	SF3A2
TE_21600	PLEKHJ1
TE_21600	MIR1227
TE_21600	MIR6789
TE_22281	FAM71E1
TE_22281	EMC10
TE_21833	UNC13A
TE_21744	WDR18
TE_21744	ABCA7
TE_21744	CNN2
TE_21744	RNU6-1
TE_21744	RNU6-7
TE_21744	RNU6-8
TE_21744	RNU6-9
TE_21744	RNU6-2
TE_21744	GRIN3B
TE_21744	TMEM259
TE_21594	IZUMO4
TE_21594	MOB3A
TE_21874	LPAR2
TE_21874	PBX4
TE_21848	SNORA68
TE_21848	RPL18A
TE_21848	SLC5A5
TE_22322	BCL2L12
TE_22322	IRF3
TE_22322	CPT1C
TE_22322	PRMT1
TE_22322	MIR5088
TE_22322	ADM5
SE_1110	AP2A1
SE_1110	TSKS
SE_1086	FEM1A
SE_1117	RPL13A
SE_1117	FLT3LG
SE_1117	FCGRT
SE_1117	MIR150
SE_1117	RPS11
SE_1117	SNORD32A
SE_1117	SNORD33
SE_1117	SNORD34
SE_1117	SNORD35A
SE_1117	SNORD35B
TE_21827	POLRMT
TE_21827	FGF22
TE_21604	ZNF57
TE_21738	DOCK6
TE_22269	MEIS3
SE_1077	FSTL3
TE_22102	LRFN3
TE_22102	LOC105372383
SE_1110	ZNF383
SE_1110	ZNF585B
SE_1089	RPL36
SE_1089	HSD11B1L
SE_1089	MICOS13
TE_22145	ZNF546
SE_1081	IZUMO4
SE_1081	MOB3A
TE_21753	HOOK2
TE_21753	RNASEH2A
TE_21753	MIR5684
TE_21753	JUNB
TE_21753	PRDX2
SE_1082	DIRAS1
TE_22296	SPHK2
TE_22296	SPACA4
TE_22296	RPL18
TE_22296	CA11
TE_22296	SEC1P
TE_22296	DBP
TE_22296	FAM83E
SE_1093	TUBB4A
TE_22319	ALDH16A1
TE_22319	SLC17A7
TE_22319	PIH1D1
TE_22395	OSCAR
TE_22395	TFPT
TE_22395	PRPF31
TE_22395	NDUFA3
TE_22159	LTBP4
TE_22159	SHKBP1
TE_21875	GMIP
TE_21622	GIPC3
TE_21622	HMG20B
TE_21833	OCEL1
TE_21826	ARHGEF1
TE_21826	CD79A
SE_1101	NOTCH3
TE_21573	R3HDM4
TE_21573	KISS1R
TE_21573	ARID3A
TE_21623	NMRK2
TE_21878	FKBP8
TE_21878	ELL
SE_1092	ZNF557
SE_1086	ELAVL1
TE_22129	FBXO17
TE_22264	DACT3
TE_22264	DACT3-AS1
SE_1115	BCKDHA
SE_1115	EXOSC5
TE_22269	LRFN3
TE_22269	LOC105372383
TE_21878	GMIP
TE_22029	FAAP24
TE_22029	CEP89
SE_1101	ZNF333
TE_22281	TEAD2
TE_22281	DKKL1
TE_22184	MIR8077
TE_22268	AP2S1
SE_1101	ILVBL
SE_1112	PPAN
SE_1112	ANGPTL6
SE_1112	EIF3G
SE_1112	SNORD105
SE_1112	SNORD105B
SE_1112	PPAN-P2RY11
SE_1112	SHFL
SE_1112	P2RY11
TE_21860	RTN2
TE_21860	VASP
TE_21860	FOSB
TE_21860	PPM1N
TE_22202	PHLDB3
TE_21619	DOHH
TE_21619	FZR1
SE_1101	CYP4F22
TE_21601	GNG7
TE_22313	KCNA7
TE_22313	NTF4
TE_22313	CGB8
TE_22313	CGB5
TE_22313	SNRNP70
TE_22313	CGB7
TE_21587	DUS3L
TE_21587	PRR22
TE_22281	NDUFS7
TE_22265	PRKD2
TE_22265	STRN4
TE_22265	FKRP
TE_22265	MIR320E
TE_21739	ECSIT
TE_21739	ELOF1
TE_21739	CNN1
SE_1099	PALM3
SE_1099	MISP3
SE_1099	MIR1199
TE_21557	FSTL3
TE_21619	GIPC3
TE_21619	HMG20B
TE_22159	MAP3K10
SE_1101	DAPK3
SE_1101	SNORD37
SE_1101	EEF2
SE_1101	MIR637
SE_1103	REX1BD
SE_1103	TMEM59L
SE_1103	CRLF1
SE_1084	MPND
SE_1084	STAP2
SE_1110	SPRED3
SE_1110	FAM98C
SE_1110	GGN
TE_21702	ZNF559
TE_21702	ZNF559-ZNF177
TE_21874	ZNF43
TE_22061	LSM14A
TE_22144	LGALS17A
TE_21762	CCDC130
SE_1082	LMNB2
SE_1082	LINC01775
TE_22336	FAM71E1
TE_22336	EMC10
SE_1079	GAMT
SE_1079	DAZAP1
TE_19286	LRRC37A3
SE_917	SLC43A2
TE_18518	PITPNA
SE_917	TLCD3A
SE_1022	ACTG1
SE_1022	FSCN2
SE_917	ABR
SE_996	MTRNR2L1
